Category,Region,Tag,URL,Notes for Audit
Main Website (Global),Global,website,https://www.soprasteria.com/,"Global messaging, branding, and investor relations. Compare global vs. local messaging."
Main Website (BENELUX),BE,website,https://www.soprasteria.be/,"BENELUX Main Portal. Audit main navigation (""About Us"", ""What we do"", ""Industries"", ""Careers"") for BENELUX-specific messaging. Note language options (EN/NL/FR)."
Main Website (BENELUX),BE,website,https://www.soprasteria.be/newsroom/news,Official news and press releases for the BENELUX region.
Main Website (BENELUX),BE,website,https://www.soprasteria.be/newsroom/blog,"Thought leadership, industry insights, and company culture articles from a BENELUX perspective."
Main Website (BENELUX),BE,website,https://www.soprasteria.be/newsroom/success-stories,Case studies and client testimonials from the BENELUX market.
Main Website (BENELUX),BE,website,https://www.soprasteria.be/contact-us,"Office locations and contact details for Belgium, Netherlands, and Luxembourg."
Main Website (Luxembourg),LU,website,https://www.soprasteria.lu/,Specific site for Sopra Steria PSF Luxembourg (Pôle de Support au Secteur Financier). Financial services focus.
Careers Website,BE,careers,https://careers.soprasteria.be/,Employer branding and job opportunities specific to Belgium.
Careers Website,NL,careers,https://careers.soprasteria.nl/,Employer branding and job opportunities specific to the Netherlands.
Careers Website,LU,careers,https://careers.soprasteria.com/lu/,Employer branding and job opportunities specific to Luxembourg.
Social Media Profile,BENELUX,social,https://www.linkedin.com/company/soprasteria-benelux/,"Primary Professional Social Channel. Content strategy, engagement, employee advocacy, and messaging related to the Ordina merger."
Social Media Profile,BENELUX,social,https://www.youtube.com/@SopraSteria_Benelux,"Official BENELUX YouTube Channel. Video content, event recaps, client stories, and employer branding videos."
Social Media Profile,Global,social,https://www.youtube.com/@SopraSteriaGroup,Global YouTube channel. Audit for any BENELUX-specific content or campaigns.
Social Media Profile,BE,social,https://twitter.com/SopraSteria_Be,"Twitter/X presence for Belgium. Audit for activity level, engagement, and content relevance."
Social Media Profile,BENELUX,social,https://www.facebook.com/SopraSteriaBenelux,"Facebook presence for BENELUX. Assess audience, content strategy (e.g., events, culture), and engagement."
Video Example,BENELUX,video,https://www.youtube.com/watch?v=kR2C3m4d5c0,(2024) Video discussing Sopra Steria's new identity in the BENELUX region post-Ordina merger.
Video Example,BE,video,https://www.youtube.com/watch?v=Fj-y5wTwu-w,"(2024) Client case study with Solidaris, showcasing services in the Belgian market."
Video Example,BENELUX,video,https://www.youtube.com/watch?v=Xh07bWvN4jY,"(2023) Event video for ""Ordina's Innovation Day,"" relevant to the transition period."
Video Example,BE,video,https://www.youtube.com/watch?v=e_9A_Nq1V2k,"(2023) Video on preserving Flemish cultural heritage with AI, a key local project."
Third-Party Review Site,Global,review,https://www.glassdoor.com/Reviews/Sopra-Steria-Reviews-E54964.htm,"Employee reviews. Crucial to filter by location (Belgium, Netherlands, Luxembourg) to gauge employer brand perception."
Third-Party Review Site,LU,review,https://www.greatplacetowork.lu/en/certification/sopra-steria-psf-luxembourg,"""Great Place to Work"" certification for the Luxembourg entity. Positive employer branding."
Third-Party Review Site,Global,review,https://choosemycompany.com/en/certified-reviews/77683.sopra-steria/employees,General trainee and employee reviews for the global brand.
External News (Merger),BE,news,https://www.computable.be/2024/02/23/vaarwel-ordina-welkom-sopra-steria/,(Feb 2024) Belgian IT publication covering the brand transition from Ordina to Sopra Steria.
External News (Merger),NL,news,https://www.computable.nl/2024/01/25/ordina-heet-nu-echt-sopra-steria/,(Jan 2024) Dutch IT publication announcing the official name change from Ordina.
External News (Merger),Global,news,https://www.businesswire.com/news/home/20230320005698/en/,The official press release announcing the agreement to acquire Ordina.
External News (Local),BE,news,https://datanews.knack.be/ict/in-de-kijker/she-goes-ict-2023-de-genomineerden-zijn-bekend/article-longread-1951551.html,"(2023) Nomination of a Sopra Steria employee for the ""She Goes ICT"" award by Data News, a key Belgian IT magazine."
External News (Local),BE,news,https://www.solution-santo.com/en/references/sopra-steria-chooses-the-right-formula-for-their-new-hq-in-brussels,"Article about Sopra Steria's new HQ in Brussels, relevant for physical branding and local investment perception."
Industry Association,NL,directory,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,"Membership listing in NLdigital, the Dutch digital industry trade association."
Industry Association,NL,directory,https://www.nldigital.nl/nieuws/toezicht-door-de-mens-blijft-altijd-nodig/,Article featuring the CEO of Sopra Steria Netherlands as a board member of NLdigital.
Industry Association,NL,directory,https://www.nidv.eu/en/industry-guide/sopra-steria/,Listing in the Netherlands Industries for Defence & Security (NIDV) directory.
Industry Association,LU,directory,https://fedil.lu/fr/members/75145bb5-ece6-e611-80f5-c4346bac8ce8/,"Membership listing in FEDIL, the main business federation in Luxembourg."
Industry Association,LU,directory,https://www.financeandtechnology.lu/members-page/,Listing for Sopra Steria PSF Luxembourg S.A. in the Finance & Technology Luxembourg association.
Industry Association,Global,directory,https://www.drupal.org/sopra-steria,"Drupal.org profile listing Agoria (Belgian tech federation) as a client, showing a strong industry relationship."
Partner Directory,LU,directory,https://www.editus.lu/fr/sopra-steria-psf-luxembourg-sa-leudelange-385905,Business directory listing for the Luxembourg entity on Editus.lu.
Partner Directory,BENELUX,directory,https://www.dassault-systèmes-benelux.com/contact/,Listing of Sopra Steria (via Ordina) as a Dassault Systèmes partner in the BENELUX.
Sample Blog Post,BE,blog,https://www.soprasteria.be/newsroom/blog/details/artificial-intelligence-in-the-flemish-public-sector,"Example of thought leadership targeting the public sector in Flanders, Belgium."
Sample Blog Post,BENELUX,blog,https://www.soprasteria.be/newsroom/blog/details/digital-workplace-in-2024-what-to-expect,Example of forward-looking tech advice for the BENELUX market.
Sample News Item,BE,news,https://www.soprasteria.be/newsroom/news/news/vote-for-konstantina-kyriakopoulou,"Company promotion of their employee for the ""She Goes ICT"" award, showing internal culture."
Sample News Item,BENELUX,news,https://www.soprasteria.be/newsroom/news/news/discover-the-key-insights-from-our-round-table-on-ai,Post-event content demonstrating industry leadership and engagement in the local market.
Sample Client Story,LU,case-study,https://www.soprasteria.be/newsroom/success-stories/details/post-luxembourg,Case study with a major client in Luxembourg.
Sample Client Story,BE,case-study,https://www.soprasteria.be/newsroom/success-stories/details/belfius-insurance,Case study with a major client in Belgium.
Main Website (Global),Global,website,https://www.soprasteria.com/about-us/history,Company history and heritage information.
Main Website (Global),Global,website,https://www.soprasteria.com/about-us/corporate-responsibility,Corporate responsibility and sustainability messaging.
Main Website (Global),Global,website,https://www.soprasteria.com/en/home/,English version of global homepage.
Main Website (UK),UK,website,https://www.soprasteria.co.uk,UK-specific messaging and branding.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/about-us/social-value-and-sustainability,UK sustainability and social value positioning.
Careers Website,Global,careers,https://careers.soprasteria.com/,Global careers portal and employer branding.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/about-us/social-value-and-sustainability/our-values-philosophy,UK values and philosophy messaging.
Main Website (Global),Global,website,https://www.soprasteria.com/services/artificial-intelligence,AI services and capabilities positioning.
Main Website (Global),Global,website,https://www.soprasteria.com/newsroom/press-releases/details/sopra-steria-and-mistral-ai-partner-to-offer-advanced-ai-solutions,AI partnership announcement and strategic positioning.
Main Website (UK),UK,whitepaper,https://www.soprasteria.co.uk/whitepapers/digital-ethics-outlook,UK thought leadership on digital ethics.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/about-us/the-sopra-steria-uk-family,UK brand family and subsidiary information.
Main Website (Global),Global,website,https://www.soprasteria.com/investors/board-of-directors,Corporate governance and leadership information.
Main Website (Global),Global,website,https://www.soprasteria.com/investors/executive-management,Executive leadership and management team.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/insights/press-releases,UK press releases and news.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/about-us/our-leadership,UK leadership team and positioning.
Main Website (UK),UK,compliance,https://www.soprasteria.co.uk/footer/modern_slavery_statement,UK modern slavery statement and compliance.
Main Website (UK),UK,compliance,https://www.soprasteria.co.uk/footer/net_zero-carbon-reduction-plan,UK net zero and carbon reduction commitments.
Main Website (Global),Global,financial,https://www.soprasteria.com/investors/financial-publications-reports/financial-reports,Financial reports and investor relations.
Main Website (Global),Global,website,https://www.soprasteria.com/newsroom/press-releases,Global press releases and corporate news.
Main Website (Global),DE,website,https://www.soprasteria.com/about-us/our-offices/-in-localisation/localisation/germany,German office locations and local presence.
Third-Party Review Site,UK,review,https://www.inspiring-workplaces.com/company/sopra-steria-uk,UK employer branding and workplace culture recognition.
Main Website (Global),Global,whitepaper,https://www.soprasteria.com/services/consulting/insights-and-publications/decarbonising-the-aerospace-sector,Aerospace sustainability consulting and thought leadership.
Main Website (Global),Global,website,https://www.soprasteria.com/newsroom/press-releases/details/sopra-steria-positioned-as-best-in-class-in-the-pac-innovation-radar-2023-for-its-sustainability-related-consulting-services-in-europe,Sustainability consulting recognition and awards.
Main Website (UK),UK,case-study,https://www.soprasteria.co.uk/docs/librariesprovider2/sopra-steria-uk-documents/case-studies/co-op-bank-case-study.pdf,UK client case study documentation.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/insights/press-releases/details/were-best-in-class-for-our-sustainability-related-consulting-services-in-the-uk,UK sustainability consulting recognition.
Main Website (Global),Global,whitepaper,https://www.soprasteria.com/industries/financial-services/dbx-report-2025-financial-well-being-the-new-differentiator,Financial services thought leadership and research.
Main Website (UK),UK,whitepaper,https://www.soprasteria.co.uk/whitepapers/how-creditors-can-deliver-unrivalled-cx-to-consumers-in-vulnerable-situations,UK financial services thought leadership.
Careers Website,Global,careers,https://careers.soprasteria.com/testimonial/2025-3/ark-deliev-an-enriching-journey-with-sopra-steria,Employee testimonials and career stories.
Main Website (Global),Global,financial,https://www.soprasteria.com/docs/librariesprovider2/sopra-steria-corporate/finance/rapports-financiers/sopra_steria_2018_ddr_en_bat.pdf,Corporate financial documentation.
Careers Website,NL,careers,https://careers.soprasteria.com/job/personnel-and-payroll-administration-advisor-in-nieuwegein-netherlands-jid-1841,Job postings and career opportunities.
Careers Website,UK,careers,https://careers.soprasteria.co.uk/nhssbs/uk/en/what-we-can-offer-you,UK NHS-specific career information.
Main Website (Global),Global,financial,https://www.soprasteria.com/docs/librariesprovider2/sopra-steria-corporate/finance/presentation-financiere/axway-listing-prospectus-granted-visa-number-11-137-by-the-autorite-des-march%C3%A9s-financiers.pdf,Financial and investment documentation.
Main Website (Global),Global,website,https://www.soprasteria.com/industries/aerospace,Aerospace industry services and capabilities.
Main Website (Global),Global,whitepaper,https://www.soprasteria.com/industries/government/2017-digital-gov-barometer-the-digital-transformation-of-4-european-states-as-seen-by-the-citizens---an-ipsos-survey-for-sopra-steria70-of-french-citizens-see-digital-development-for-interacting-with-citizens-as-a-priority-for-the-french-government,Government digital transformation research and insights.
Main Website (UK),UK,blog,https://www.soprasteria.co.uk/insights/blogs/details/driving-public-sector-transformation-key-insights-from-the-government-transformation-summit,UK public sector transformation thought leadership.
Main Website (UK),UK,case-study,https://www.soprasteria.co.uk/insights/client-success-stories/details/delivering-digital-transformation-with-the-scottish-government,UK government client success stories.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/about-us/the-sopra-steria-uk-family/-cxpartners,UK subsidiary and brand family information.
Main Website (UK),UK,blog,https://www.soprasteria.co.uk/insights/blogs/details/from-tool-to-coworker-what-true-agentic-ai-means-for-your-organisation,UK AI thought leadership and insights.
Main Website (UK),UK,blog,https://www.soprasteria.co.uk/insights/blogs/details/10-reasons-why-ai-powered-it-service-management-is-your-secret-weapon-for-scalable-success,UK AI and IT services thought leadership.
Main Website (Global),Global,website,https://www.soprasteria.com/services/technology-services/cloud,Cloud services and capabilities.
Main Website (Global),Global,website,https://www.soprasteria.com/services/technology-services/cloud/cloud-security-services,Cloud security services and expertise.
Main Website (Global),Global,website,https://www.soprasteria.com/newsroom/press-releases/details/sopra-steria-recognized-as-a-leader-in-strategic-security-services-and-managed-security-services-for-large-accounts-by-by-an-isg-provider-lens-report,Security services recognition and awards.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/transformation/cyber-security,UK cybersecurity services and capabilities.
Main Website (Global),Global,website,https://www.soprasteria.com/about-us/strategic-alliances/sopra-steria-transformation-services-for-ibm-redhat,IBM and Red Hat partnership information.
Main Website (Global),Global,website,https://www.soprasteria.com/about-us/strategic-alliances,Strategic partnerships and alliances.
Main Website (UK),UK,case-study,https://www.soprasteria.co.uk/insights/client-success-stories/details/saving-the-nhs-millions-achieving-huge-economies-of-scale-while-demonstrating-both-innovation-and-best-practice-in-business-efficiency,UK NHS client success stories.
Main Website (Global),Global,whitepaper,https://www.soprasteria.com/docs/librariesprovider2/sopra-steria-corporate/sopra-crypto-solution-one-pager-english-version-1.pdf,Cryptocurrency and blockchain solutions documentation.
Main Website (UK),UK,whitepaper,https://www.soprasteria.co.uk/docs/librariesprovider2/sopra-steria-uk-documents/thought-leadership/sopra-steria-financial-services.pdf,UK financial services thought leadership documentation.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/industries/financial-services,UK financial services industry focus.
Main Website (Global),ES,case-study,https://www.soprasteria.com/industries/government/digital-transformation-strategy-supporting-digital-transformation-for-the-railway-stations-adif,Government and transportation digital transformation case studies.
Main Website (UK),UK,case-study,https://www.soprasteria.co.uk/insights/client-success-stories/details/enabling-the-expansion-of-an-innovative-telehealth-initiative-through-an-expert-procurement-process,UK healthcare and telehealth success stories.
Main Website (Global),Global,website,https://www.soprasteria.com/footer/site-map,Global site navigation and structure.
Main Website (Global),Global,website,https://www.soprasteria.com/newsroom/events,Global events and webinars.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/insights/events-and-webinars,UK events and webinars.
Main Website (Global),Global,website,https://www.soprasteria.com/newsroom,Global newsroom and content hub.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/insights,UK insights and thought leadership hub.
Main Website (Global),Global,compliance,https://www.soprasteria.com/investors/governance,Corporate governance and compliance.
Main Website (Global),Global,financial,https://www.soprasteria.com/investors/investors-relations-shareholders/shareholders,Shareholder information and relations.
Main Website (Global),Global,financial,https://www.soprasteria.com/investors/investors-relations-shareholders/shareholders-meetings,Shareholder meetings and investor relations.
Main Website (Global),Global,compliance,https://www.soprasteria.com/about-us/ethics-and-compliance,Global ethics and compliance information.
Main Website (UK),UK,compliance,https://www.soprasteria.co.uk/about-us/ethics-and-compliance,UK ethics and compliance information.
Main Website (UK),UK,compliance,https://www.soprasteria.co.uk/footer/corporate-information-and-policies/modern-slavery-statement,UK corporate policies and compliance.
Main Website (UK),UK,whitepaper,https://www.soprasteria.co.uk/docs/librariesprovider2/sopra-steria-uk-documents/thought-leadership/digital-ethics-outlook-the-government-view.pdf,UK digital ethics thought leadership documentation.
Main Website (UK),UK,whitepaper,https://www.soprasteria.co.uk/docs/librariesprovider2/sopra-steria-uk-documents/thought-leadership/whitepaper_digital_ethics.pdf,UK digital ethics whitepaper documentation.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/about-us/social-value-and-sustainability/diversity-and-inclusion,UK diversity and inclusion positioning.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/insights/press-releases/details/women-in-technology,UK women in technology initiatives.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/insights/press-releases/details/women-in-tech-in-conversation-with-meredith-patton,UK women in tech thought leadership.
Careers Website,UK,careers,https://careers.soprasteria.co.uk/,UK careers portal and employer branding.
Main Website (Global),Global,website,https://www.soprasteria.com/careers,Global careers and employment information.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/insights/press-releases/details/why-employee-engagement-is-a-cornerstone-to-a-sustainable-future,UK employee engagement and sustainability messaging.
Main Website (UK),UK,website,https://www.soprasteria.co.uk/about-us,UK about us and company information.
Main Website (Global),Global,website,https://www.soprasteria.com/about-us/market-reco,Global market recognition and awards.
Main Website (Global),Global,financial,https://www.soprasteria.com/docs/librariesprovider2/sopra-steria-corporate/finance/cp-fi/2020-soprasteria_signature_sodifrance_uk.pdf,Acquisition and merger documentation.