File,Size(KB),Lines,InlineStyles,CSSClasses,InlinePercent,Severity
Methodology.tsx,19.1,496,5,57,8.1,GOOD
AuditReports.tsx,17.2,493,3,44,6.4,GOOD
ContentMatrix.tsx,32.7,856,12,188,6,GOOD
VisualBrandHygiene.tsx,59.8,1330,10,195,4.9,GOOD
StrategicRecommendations.tsx,22.7,606,4,113,3.4,GOOD
ExecutiveDashboard.tsx,18.6,445,4,117,3.3,GOOD
OpportunityImpact.tsx,26.1,735,4,147,2.6,GOOD
SocialMediaAnalysis.tsx,41.0,1112,2,265,0.7,GOOD
SuccessLibrary.tsx,24.7,647,1,148,0.7,GOOD
RunAudit.tsx,36.4,956,1,214,0.5,GOOD
DatasetDetail.tsx,1.3,45,0,0,0,GOOD
DatasetList.tsx,0.8,36,0,0,0,GOOD
PagesList.tsx,0.9,35,0,0,0,GOOD
PersonaInsights.tsx,16.4,455,0,92,0,GOOD
PersonaViewer.tsx,60.4,1393,0,198,0,GOOD
ReportsExport.tsx,35.4,855,0,151,0,GOOD